BRANCH_COUNT,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,Defective,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LANGUAGE,LOC_BLANK,LOC_CODE_AND_COMMENT,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,PARAMETER_COUNT,PATHOLOGICAL_COMPLEXITY,PERCENT_COMMENTS,SOFTWARE
9,2,16,5,0.2,8,3,0.6,0,17,1,0.0,0,0.0,32.54,9.5,2936.77,0.1,63,0.11,163.15,309.13,0,6,1,0,24,25,0.2,4,8,14,0.16,32,19,44,15,15,3,1,4.0,0
7,3,12,4,0.13,6,2,0.5,1,17,1,0.0,0,0.0,38.55,21.52,17846.19,0.28,141,0.05,991.46,829.45,0,15,1,19,31,32,0.25,3,6,15,0.06,67,51,90,32,27,1,1,39.22,0
9,1,16,5,0.15,8,3,0.6,1,18,1,0.0,0,0.0,52.03,12.33,7914.68,0.21,111,0.08,439.7,641.73,0,27,4,22,29,33,0.2,4,8,15,0.06,83,37,74,33,22,0,1,47.27,0
1,2,0,1,0.14,0,1,1.0,0,3,1,0.0,0,0.0,17.43,2.0,69.74,0.01,11,0.5,3.87,34.87,0,1,0,0,7,7,1.0,0,0,4,0.11,9,5,6,5,4,1,1,0.0,0
3,2,4,2,0.17,2,2,1.0,0,6,1,0.0,0,0.0,14.62,6.43,604.36,0.03,23,0.16,33.58,94.01,0,7,0,0,12,12,0.5,1,2,6,0.1,20,9,14,7,10,2,1,0.0,0
25,13,48,13,0.12,24,11,0.85,0,96,1,0.0,0,0.0,101.31,27.04,74089.87,0.91,421,0.04,4116.1,2739.78,0,51,0,14,106,106,0.08,12,24,85,0.08,172,192,229,71,20,2,1,11.67,0
5,2,8,3,0.2,4,3,1.0,0,12,1,0.0,0,0.0,8.17,18.0,2648.68,0.05,36,0.06,147.15,147.15,0,3,0,0,15,15,0.33,2,4,11,0.16,19,15,21,5,12,1,1,0.0,0
9,5,16,5,0.14,8,5,1.0,0,21,5,1.0,0,0.0,38.51,14.25,7820.87,0.18,107,0.07,434.49,548.83,0,13,12,16,25,37,1.0,4,8,18,0.07,67,38,69,20,15,4,1,52.83,0
29,0,44,15,0.28,16,1,0.07,0,45,3,0.14,0,0.0,61.1,22.3,30377.95,0.45,239,0.04,1687.66,1362.41,0,22,8,35,46,54,0.2,14,22,32,0.13,112,110,129,37,15,0,1,48.31,0
9,2,12,5,0.11,4,1,0.2,0,21,5,1.0,0,0.0,41.24,20.76,17773.08,0.29,155,0.05,987.39,856.15,0,16,11,28,34,45,1.0,4,6,18,0.06,90,59,96,27,19,2,1,53.42,0
3,0,4,2,0.17,2,1,0.5,0,6,1,0.0,0,0.0,15.9,9.0,1287.55,0.05,35,0.11,71.53,143.06,0,4,2,4,10,12,0.5,1,2,6,0.1,21,16,19,8,9,1,1,37.5,0
13,0,24,7,0.21,12,1,0.14,0,27,5,0.67,0,0.0,27.4,28.12,21659.58,0.26,157,0.04,1203.31,770.38,0,23,10,17,23,33,0.71,6,12,22,0.09,74,43,114,13,17,3,1,54.0,0
13,0,24,7,0.21,12,1,0.14,0,27,5,0.67,0,0.0,17.45,27.22,12929.85,0.16,105,0.04,718.32,474.97,0,23,10,17,23,33,0.71,6,12,22,0.09,74,35,70,9,14,3,1,54.0,0
9,4,16,5,0.15,8,2,0.4,0,21,1,0.0,0,0.0,47.41,27.5,35852.6,0.43,231,0.04,1991.81,1303.73,0,40,2,15,31,33,0.2,4,8,18,0.06,89,70,161,28,22,0,1,35.42,0
9,6,16,5,0.19,8,2,0.4,0,23,1,0.0,0,0.0,43.1,15.2,9958.0,0.22,120,0.07,553.22,655.13,0,23,3,20,24,27,0.2,4,8,20,0.07,71,40,80,25,19,0,1,48.94,0
3,1,4,2,0.11,2,1,0.5,0,7,1,0.0,0,0.0,29.61,9.15,2480.95,0.09,57,0.11,137.83,271.03,0,8,6,5,13,19,0.5,1,2,7,0.06,33,17,40,13,14,1,1,45.83,0
1,1,0,1,0.14,0,1,1.0,0,2,1,0.0,0,0.0,13.88,4.0,222.03,0.02,15,0.25,12.33,55.51,0,2,1,1,6,7,1.0,0,0,3,0.09,11,5,10,5,8,1,1,25.0,0
3,1,4,2,0.06,2,2,1.0,0,23,1,0.0,0,0.0,64.01,11.65,8684.99,0.25,135,0.09,482.5,745.68,0,19,2,0,33,35,0.5,1,2,23,0.04,55,66,69,34,12,0,1,5.71,0
1,1,0,1,0.14,0,1,1.0,0,2,1,0.0,0,0.0,13.88,4.0,222.03,0.02,15,0.25,12.33,55.51,0,0,1,1,6,7,1.0,0,0,3,0.11,9,5,10,5,8,1,1,25.0,0
6,0,0,5,0.12,0,1,0.2,0,12,1,0.0,0,0.0,36.35,21.98,17553.08,0.27,157,0.05,975.17,798.73,0,7,1,0,41,42,0.2,0,0,9,0.1,50,71,86,21,13,1,1,2.38,0
7,0,10,4,0.15,4,1,0.25,0,13,4,1.0,0,0.0,21.34,24.44,12748.97,0.17,98,0.04,708.28,521.54,0,6,6,0,21,27,1.0,3,5,11,0.12,34,40,58,18,22,1,1,22.22,0
60,9,38,41,0.17,16,23,0.56,0,118,6,0.13,0,0.0,101.81,54.82,305928.62,1.86,767,0.02,16996.03,5580.79,0,134,63,31,177,240,0.15,11,19,79,0.1,406,268,499,110,45,5,1,34.69,0
8,2,8,5,0.28,4,3,0.6,0,14,1,0.0,0,0.0,12.36,15.0,2781.99,0.06,41,0.07,154.56,185.47,0,9,4,5,14,18,0.2,2,4,11,0.15,33,16,25,8,15,0,1,39.13,0
110,26,128,70,0.18,54,46,0.66,0,241,27,0.38,0,0.0,157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,15345.64,0,164,37,191,361,398,0.39,37,66,173,0.09,764,711,1133,251,69,1,1,38.71,0
24,11,34,13,0.16,14,10,0.77,0,53,7,0.5,0,0.0,60.5,32.21,62767.66,0.65,298,0.03,3487.09,1948.67,0,27,3,48,76,79,0.54,10,19,42,0.08,155,102,196,57,36,1,1,40.16,0
1,1,0,1,0.03,0,1,1.0,0,2,1,0.0,0,0.0,116.21,22.83,60566.12,0.88,461,0.04,3364.78,2653.0,0,4,0,10,31,31,1.0,0,0,3,0.02,46,144,317,41,13,0,1,24.39,0
5,1,8,3,0.15,4,3,1.0,0,10,1,0.0,0,0.0,34.17,10.29,3620.93,0.12,71,0.1,201.16,351.75,0,5,0,0,20,20,0.33,2,4,9,0.12,26,25,46,17,14,1,1,0.0,0
9,3,14,5,0.16,6,3,0.6,0,20,3,0.5,0,0.0,24.71,21.86,11802.86,0.18,108,0.05,655.71,540.0,0,7,4,5,27,31,0.6,4,7,17,0.11,44,34,74,14,18,0,1,25.0,0
5,7,8,3,0.18,4,3,1.0,0,15,1,0.0,0,0.0,36.19,7.18,1867.89,0.09,52,0.14,103.77,260.0,0,16,2,24,15,17,0.33,2,4,14,0.05,58,21,31,19,13,1,1,63.41,0
7,3,12,4,0.25,6,4,1.0,0,15,1,0.0,0,0.0,26.75,11.03,3253.68,0.1,59,0.09,180.76,295.0,0,15,3,8,13,16,0.25,3,6,13,0.1,40,25,34,17,15,0,1,45.83,0
5,4,8,3,0.11,4,3,1.0,0,14,1,0.0,0,0.0,48.49,14.11,9649.29,0.23,120,0.07,536.07,684.05,0,19,2,16,25,27,0.33,2,4,13,0.04,70,49,71,33,19,1,1,41.86,0
7,5,12,4,0.15,6,4,1.0,0,15,4,1.0,0,0.0,28.43,13.42,5120.93,0.13,75,0.07,284.5,381.56,0,19,5,10,22,27,1.0,3,6,13,0.07,57,34,41,19,15,1,1,40.54,0
11,4,20,6,0.18,10,4,0.67,0,23,1,0.0,0,0.0,30.61,23.1,16332.07,0.24,128,0.04,907.34,707.02,0,15,5,19,28,33,0.17,5,10,19,0.08,75,55,73,25,21,2,1,46.15,0
3,1,4,2,0.1,2,2,1.0,0,6,1,0.0,0,0.0,25.62,24.42,15282.02,0.21,122,0.04,849.0,625.77,0,13,3,18,18,21,0.5,1,2,6,0.04,53,58,64,19,16,2,1,53.85,0
9,3,16,5,0.19,8,3,0.6,0,21,1,0.0,0,0.0,27.08,39.72,42716.37,0.36,197,0.03,2373.13,1075.51,0,14,2,20,24,26,0.2,4,8,18,0.07,68,87,110,23,21,1,1,47.83,0
9,4,16,5,0.13,8,5,1.0,0,22,1,0.0,0,0.0,54.44,19.25,20172.82,0.35,176,0.05,1120.71,1047.94,0,12,2,12,38,40,0.2,4,8,19,0.07,73,70,106,40,22,1,1,26.92,0
9,5,16,5,0.12,8,5,1.0,0,21,5,1.0,0,0.0,54.55,14.84,12009.6,0.27,140,0.07,667.2,809.39,0,23,10,9,31,41,1.0,4,8,18,0.07,74,61,79,37,18,1,1,38.0,0
71,5,122,37,0.18,58,26,0.7,1,148,21,0.56,0,0.0,127.7,71.54,653537.1,3.05,1177,0.01,36307.62,9135.35,0,155,14,170,196,210,0.57,32,61,113,0.07,536,454,723,165,52,1,1,48.42,0
11,10,20,6,0.16,10,6,1.0,0,30,1,0.0,0,0.0,53.31,12.89,8852.8,0.23,123,0.08,491.82,686.95,0,42,5,44,32,37,0.17,5,10,26,0.05,124,47,76,31,17,0,1,60.49,0
19,5,36,10,0.13,18,9,0.9,1,48,8,0.78,0,0.0,46.15,27.11,33930.43,0.42,211,0.04,1885.02,1251.39,0,30,6,45,71,77,0.8,9,18,40,0.07,153,73,138,35,26,1,1,41.8,0
3,2,4,2,0.13,2,2,1.0,1,6,1,0.0,0,0.0,27.05,14.25,5493.37,0.13,74,0.07,305.19,385.5,0,9,0,7,15,15,0.5,1,2,6,0.06,32,27,47,18,19,0,1,31.82,0
17,4,28,9,0.13,12,6,0.67,0,39,4,0.38,0,0.0,97.49,20.91,42621.97,0.68,314,0.05,2367.89,2038.44,0,26,5,32,62,67,0.44,8,14,32,0.07,126,115,199,66,24,2,1,37.37,0
11,12,20,6,0.14,10,5,0.83,0,40,1,0.0,0,0.0,61.64,16.96,17733.62,0.35,177,0.06,985.2,1045.52,0,40,3,47,41,44,0.17,5,10,36,0.05,132,63,114,39,21,0,1,54.95,0
3,2,0,2,0.25,0,1,0.5,0,8,1,0.0,0,0.0,28.75,5.5,869.68,0.05,36,0.18,48.32,158.12,0,7,0,6,8,8,0.5,0,0,8,0.09,22,10,26,10,11,0,1,42.86,0
7,2,12,4,0.16,6,1,0.25,0,16,1,0.0,0,0.0,31.67,15.0,7125.0,0.16,95,0.07,395.83,475.0,0,7,0,8,25,25,0.25,3,6,14,0.1,41,30,65,16,16,0,1,24.24,0
