HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,SOFTWARE,LANGUAGE,Defective
32.54,9.5,2936.77,0.1,63,0.11,163.15,309.13,0,0,0
38.55,21.52,17846.19,0.28,141,0.05,991.46,829.45,0,0,1
52.03,12.33,7914.68,0.21,111,0.08,439.7,641.73,0,0,1
17.43,2.0,69.74,0.01,11,0.5,3.87,34.87,0,0,0
14.62,6.43,604.36,0.03,23,0.16,33.58,94.01,0,0,0
101.31,27.04,74089.87,0.91,421,0.04,4116.1,2739.78,0,0,0
8.17,18.0,2648.68,0.05,36,0.06,147.15,147.15,0,0,0
38.51,14.25,7820.87,0.18,107,0.07,434.49,548.83,0,0,0
61.1,22.3,30377.95,0.45,239,0.04,1687.66,1362.41,0,0,0
41.24,20.76,17773.08,0.29,155,0.05,987.39,856.15,0,0,0
15.9,9.0,1287.55,0.05,35,0.11,71.53,143.06,0,0,0
27.4,28.12,21659.58,0.26,157,0.04,1203.31,770.38,0,0,0
17.45,27.22,12929.85,0.16,105,0.04,718.32,474.97,0,0,0
47.41,27.5,35852.6,0.43,231,0.04,1991.81,1303.73,0,0,0
43.1,15.2,9958.0,0.22,120,0.07,553.22,655.13,0,0,0
29.61,9.15,2480.95,0.09,57,0.11,137.83,271.03,0,0,0
13.88,4.0,222.03,0.02,15,0.25,12.33,55.51,0,0,0
64.01,11.65,8684.99,0.25,135,0.09,482.5,745.68,0,0,0
13.88,4.0,222.03,0.02,15,0.25,12.33,55.51,0,0,0
36.35,21.98,17553.08,0.27,157,0.05,975.17,798.73,0,0,0
21.34,24.44,12748.97,0.17,98,0.04,708.28,521.54,0,0,0
101.81,54.82,305928.62,1.86,767,0.02,16996.03,5580.79,0,0,0
12.36,15.0,2781.99,0.06,41,0.07,154.56,185.47,0,0,0
157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,15345.64,0,0,0
60.5,32.21,62767.66,0.65,298,0.03,3487.09,1948.67,0,0,0
116.21,22.83,60566.12,0.88,461,0.04,3364.78,2653.0,0,0,0
34.17,10.29,3620.93,0.12,71,0.1,201.16,351.75,0,0,0
24.71,21.86,11802.86,0.18,108,0.05,655.71,540.0,0,0,0
36.19,7.18,1867.89,0.09,52,0.14,103.77,260.0,0,0,0
26.75,11.03,3253.68,0.1,59,0.09,180.76,295.0,0,0,0
48.49,14.11,9649.29,0.23,120,0.07,536.07,684.05,0,0,0
