HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,SOFTWARE,LANGUAGE,Defective
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
32.5,5.32,919.39,0.06,40,0.19,51.08,172.88,1,1,0
109.63,42.03,193686.35,1.54,666,0.02,10760.35,4607.96,1,1,0
55.65,17.14,16352.99,0.32,165,0.06,908.5,953.92,1,1,0
29.4,14.39,6090.84,0.14,89,0.07,338.38,423.18,1,1,0
32.02,5.63,1012.98,0.06,41,0.18,56.28,180.09,1,1,0
16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,1,1,0
80.76,27.14,59492.48,0.73,353,0.04,3305.14,2191.94,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
54.54,15.58,13243.53,0.28,153,0.06,735.75,849.85,1,1,0
12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,1,1,0
42.06,32.72,45051.12,0.46,236,0.03,2502.84,1376.56,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,1,0
35.31,19.55,13490.6,0.23,128,0.05,749.48,690.22,1,1,0
33.69,16.2,8841.71,0.18,104,0.06,491.21,545.78,1,1,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0
14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,1,1,0
44.33,7.33,2383.85,0.11,70,0.14,132.44,325.07,1,1,0
44.43,18.41,15056.5,0.27,157,0.05,836.47,817.88,1,1,0
40.99,14.0,8034.06,0.19,111,0.07,446.34,573.86,1,1,0
45.77,15.0,10297.93,0.23,129,0.07,572.11,686.53,1,1,0
37.67,18.75,13244.88,0.24,131,0.05,735.83,706.39,1,1,0
70.89,48.94,169799.06,1.16,557,0.02,9433.28,3469.45,1,1,0
26.16,9.23,2229.05,0.08,52,0.11,123.84,241.48,1,1,0
18.67,7.71,1110.86,0.05,36,0.13,61.71,144.0,1,1,0
30.2,25.0,18875.0,0.25,151,0.04,1048.61,755.0,1,1,0
20.81,9.0,1685.67,0.06,42,0.11,93.65,187.3,1,1,0
14.4,3.0,129.56,0.01,13,0.33,7.2,43.19,1,1,0
16.32,4.67,355.35,0.03,20,0.21,19.74,76.15,1,1,0
39.49,17.0,11411.18,0.22,127,0.06,633.95,671.25,1,1,0
23.27,11.38,3010.96,0.09,57,0.09,167.28,264.7,1,1,0
69.47,40.7,115062.64,0.94,473,0.02,6392.37,2827.25,1,1,0
59.77,42.39,107406.67,0.84,412,0.02,5967.04,2533.7,1,1,0
16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,1,1,0
122.92,19.86,48468.15,0.81,385,0.05,2692.68,2440.84,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,1,0
60.86,22.0,29456.04,0.45,224,0.05,1636.45,1338.91,1,1,0
17.44,4.67,379.91,0.03,22,0.21,21.11,81.41,1,1,0
50.08,14.0,9816.39,0.23,139,0.07,545.36,701.17,1,1,0
88.12,18.17,29080.61,0.53,271,0.06,1615.59,1600.77,1,1,0
21.8,6.19,834.61,0.04,33,0.16,46.37,134.89,1,1,0
151.9,21.7,71508.8,1.1,504,0.05,3972.71,3295.74,1,1,0
52.03,24.0,29970.57,0.42,216,0.04,1665.03,1248.77,1,1,0
26.84,8.18,1796.86,0.07,50,0.12,99.83,219.62,1,1,0
36.92,14.61,7876.2,0.18,106,0.07,437.57,539.27,1,1,0
29.26,13.5,5332.5,0.13,79,0.07,296.25,395.0,1,1,0
