Halstead_v,McCabe_loc,Halstead_i,Halstead_e,Halstead_t,total_Opnd,uniq_Opnd,total_Op,Halstead_d,Halstead_n,defects
1.3,1.1,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
309.13,24.0,32.54,2936.77,163.15,19.0,15.0,44.0,9.5,63.0,0
215.49,20.0,13.47,3447.89,191.55,16.0,8.0,31.0,16.0,47.0,0
346.13,24.0,19.97,5999.58,333.31,26.0,12.0,46.0,17.33,72.0,0
346.13,24.0,19.97,5999.58,333.31,26.0,12.0,46.0,17.33,72.0,0
34.87,7.0,17.43,69.74,3.87,5.0,5.0,6.0,2.0,11.0,0
94.01,12.0,14.62,604.36,33.58,9.0,7.0,14.0,6.43,23.0,0
548.83,25.0,38.51,7820.87,434.49,38.0,20.0,69.0,14.25,107.0,0
1362.41,46.0,61.1,30377.95,1687.66,110.0,37.0,129.0,22.3,239.0,0
856.15,34.0,41.24,17773.08,987.39,59.0,27.0,96.0,20.76,155.0,0
143.06,10.0,15.9,1287.55,71.53,16.0,8.0,19.0,9.0,35.0,0
770.38,23.0,27.4,21659.58,1203.31,43.0,13.0,114.0,28.12,157.0,0
474.97,23.0,17.45,12929.85,718.32,35.0,9.0,70.0,27.22,105.0,0
1303.73,31.0,47.41,35852.6,1991.81,70.0,28.0,161.0,27.5,231.0,0
655.13,24.0,43.1,9958.0,553.22,40.0,25.0,80.0,15.2,120.0,0
271.03,13.0,29.61,2480.95,137.83,17.0,13.0,40.0,9.15,57.0,0
55.51,6.0,13.88,222.03,12.33,5.0,5.0,10.0,4.0,15.0,0
745.68,33.0,64.01,8684.99,482.5,66.0,34.0,69.0,11.65,135.0,0
55.51,6.0,13.88,222.03,12.33,5.0,5.0,10.0,4.0,15.0,0
105.49,7.0,8.79,1265.83,70.32,12.0,5.0,15.0,12.0,27.0,0
48.43,3.0,11.07,211.89,11.77,5.0,4.0,9.0,4.38,14.0,0
110.41,7.0,22.65,538.26,29.9,13.0,8.0,16.0,4.88,29.0,0
170.97,9.0,12.09,2417.96,134.33,18.0,7.0,23.0,14.14,41.0,0
215.22,11.0,14.67,3156.61,175.37,22.0,9.0,27.0,14.67,49.0,0
39.0,4.0,13.0,117.0,6.5,6.0,4.0,7.0,3.0,13.0,0
19.65,3.0,7.86,49.13,2.73,2.0,2.0,5.0,2.5,7.0,0
370.17,16.0,18.87,7260.95,403.39,34.0,13.0,43.0,19.62,77.0,0
3327.01,65.0,79.18,139798.54,7766.59,230.0,52.0,311.0,42.02,541.0,0
5580.79,177.0,101.81,305928.62,16996.03,268.0,110.0,499.0,54.82,767.0,0
185.47,14.0,12.36,2781.99,154.56,16.0,8.0,25.0,15.0,41.0,0
15345.64,361.0,157.03,1499684.32,83315.8,711.0,251.0,1133.0,97.73,1844.0,0
1948.67,76.0,60.5,62767.66,3487.09,102.0,57.0,196.0,32.21,298.0,0
2653.0,31.0,116.21,60566.12,3364.78,144.0,41.0,317.0,22.83,461.0,0
351.75,20.0,34.17,3620.93,201.16,25.0,17.0,46.0,10.29,71.0,0
540.0,27.0,24.71,11802.86,655.71,34.0,14.0,74.0,21.86,108.0,0
260.0,15.0,36.19,1867.89,103.77,21.0,19.0,31.0,7.18,52.0,0
295.0,13.0,26.75,3253.68,180.76,25.0,17.0,34.0,11.03,59.0,0
686.95,32.0,53.31,8852.8,491.82,47.0,31.0,76.0,12.89,123.0,0
684.05,25.0,48.49,9649.29,536.07,49.0,33.0,71.0,14.11,120.0,0
381.56,22.0,28.43,5120.93,284.5,34.0,19.0,41.0,13.42,75.0,0
707.02,28.0,30.61,16332.07,907.34,55.0,25.0,73.0,23.1,128.0,0
625.77,18.0,25.62,15282.02,849.0,58.0,19.0,64.0,24.42,122.0,0
1075.51,24.0,27.08,42716.37,2373.13,87.0,23.0,110.0,39.72,197.0,0
2002.42,62.0,94.51,42426.35,2357.02,113.0,64.0,197.0,21.19,310.0,0
1653.06,65.0,108.84,25107.55,1394.86,109.0,61.0,154.0,15.19,263.0,0
181.32,8.0,25.9,1269.25,70.51,12.0,6.0,37.0,7.0,49.0,0
428.6,18.0,54.3,3382.91,187.94,34.0,28.0,46.0,7.89,80.0,0
30.88,6.0,11.58,82.35,4.57,4.0,3.0,7.0,2.67,11.0,0
1626.95,48.0,114.37,23143.92,1285.77,101.0,71.0,149.0,14.23,250.0,0
5334.7,127.0,214.24,132838.37,7379.91,251.0,126.0,486.0,24.9,737.0,0
391.73,21.0,51.3,2991.43,166.19,28.0,22.0,49.0,7.64,77.0,0
1284.0,32.0,68.36,24116.87,1339.83,96.0,46.0,118.0,18.78,214.0,0
985.76,41.0,57.28,16963.26,942.4,59.0,36.0,110.0,17.21,169.0,0
236.84,23.0,30.19,1858.26,103.24,17.0,13.0,34.0,7.85,51.0,0
158.12,8.0,28.75,869.68,48.32,10.0,10.0,26.0,5.5,36.0,0
475.0,25.0,31.67,7125.0,395.83,30.0,16.0,65.0,15.0,95.0,0
39.86,8.0,10.63,149.49,8.3,5.0,4.0,7.0,3.75,12.0,0
535.29,17.0,36.74,7799.92,433.33,36.0,21.0,66.0,14.57,102.0,0
1047.94,38.0,54.44,20172.82,1120.71,70.0,40.0,106.0,19.25,176.0,0
809.39,31.0,54.55,12009.6,667.2,61.0,37.0,79.0,14.84,140.0,0
310.34,21.0,30.24,3185.02,176.95,26.0,19.0,35.0,10.26,61.0,0
310.34,21.0,30.24,3185.02,176.95,26.0,19.0,35.0,10.26,61.0,0
97.67,14.0,8.88,1074.39,59.69,11.0,5.0,14.0,11.0,25.0,0
57.36,6.0,16.39,200.76,11.15,5.0,5.0,11.0,3.5,16.0,0
569.35,29.0,27.4,11829.84,657.21,44.0,18.0,67.0,20.78,111.0,0
459.04,18.0,35.6,5919.2,328.84,35.0,19.0,56.0,12.89,91.0,0
1311.63,55.0,48.89,35190.17,1955.01,88.0,41.0,129.0,26.83,217.0,0
937.19,47.0,59.87,14671.27,815.07,82.0,55.0,68.0,15.65,150.0,0
498.55,32.0,21.82,11393.4,632.97,37.0,17.0,58.0,22.85,95.0,0
3124.36,32.0,58.73,166215.79,9234.21,266.0,40.0,272.0,53.2,538.0,0
911.39,38.0,37.54,22126.47,1229.25,69.0,27.0,96.0,24.28,165.0,0
260.06,14.0,36.78,1838.97,102.16,18.0,14.0,38.0,7.07,56.0,0
2164.46,60.0,97.85,47876.6,2659.81,114.0,67.0,217.0,22.12,331.0,0
125.02,10.0,20.41,765.75,42.54,14.0,8.0,18.0,6.13,32.0,0
358.2,16.0,39.8,3223.83,179.1,27.0,18.0,46.0,9.0,73.0,0
142.62,12.0,23.34,871.59,48.42,10.0,9.0,23.0,6.11,33.0,0
174.17,13.0,18.1,1676.34,93.13,14.0,8.0,27.0,9.63,41.0,0
192.57,16.0,21.16,1752.37,97.35,13.0,10.0,29.0,9.1,42.0,0
521.73,27.0,28.78,9456.28,525.35,29.0,20.0,66.0,18.12,95.0,0
604.1,31.0,35.02,10420.79,578.93,33.0,22.0,77.0,17.25,110.0,0
28.07,10.0,14.04,56.15,3.12,3.0,3.0,7.0,2.0,10.0,0
