McCabe_loc,McCabe_v(g),McCabe_ev(g),McCabe_iv(g),Language,SOFTWARE,defects
1.1,1.4,1.4,1.4,,,0
1.0,1.0,1.0,1.0,,,1
24.0,5.0,1.0,3.0,,,0
20.0,4.0,4.0,2.0,,,0
24.0,6.0,6.0,2.0,,,0
24.0,6.0,6.0,2.0,,,0
7.0,1.0,1.0,1.0,,,0
12.0,2.0,1.0,2.0,,,0
25.0,5.0,5.0,5.0,,,0
46.0,15.0,3.0,1.0,,,0
34.0,5.0,5.0,1.0,,,0
10.0,2.0,1.0,1.0,,,0
23.0,7.0,5.0,1.0,,,0
23.0,7.0,5.0,1.0,,,0
31.0,5.0,1.0,2.0,,,0
24.0,5.0,1.0,2.0,,,0
13.0,2.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
33.0,2.0,1.0,2.0,,,0
6.0,1.0,1.0,1.0,,,0
7.0,2.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
7.0,1.0,1.0,1.0,,,0
9.0,3.0,1.0,1.0,,,0
11.0,3.0,1.0,1.0,,,0
4.0,1.0,1.0,1.0,,,0
3.0,1.0,1.0,1.0,,,0
16.0,4.0,1.0,1.0,,,0
65.0,12.0,1.0,1.0,,,0
177.0,41.0,6.0,23.0,,,0
14.0,5.0,1.0,3.0,,,0
361.0,70.0,27.0,46.0,,,0
76.0,13.0,7.0,10.0,,,0
31.0,1.0,1.0,1.0,,,0
20.0,3.0,1.0,3.0,,,0
27.0,5.0,3.0,3.0,,,0
15.0,3.0,1.0,3.0,,,0
13.0,4.0,1.0,4.0,,,0
32.0,6.0,1.0,6.0,,,0
25.0,3.0,1.0,3.0,,,0
22.0,4.0,4.0,4.0,,,0
28.0,6.0,1.0,4.0,,,0
18.0,2.0,1.0,2.0,,,0
24.0,5.0,1.0,3.0,,,0
62.0,9.0,4.0,6.0,,,0
65.0,12.0,3.0,8.0,,,0
8.0,1.0,1.0,1.0,,,0
18.0,4.0,1.0,4.0,,,0
6.0,1.0,1.0,1.0,,,0
48.0,7.0,1.0,7.0,,,0
127.0,10.0,1.0,10.0,,,0
21.0,4.0,1.0,4.0,,,0
32.0,2.0,1.0,2.0,,,0
41.0,6.0,1.0,5.0,,,0
23.0,5.0,1.0,5.0,,,0
8.0,2.0,1.0,1.0,,,0
25.0,4.0,1.0,1.0,,,0
8.0,2.0,1.0,1.0,,,0
17.0,3.0,1.0,3.0,,,0
38.0,5.0,1.0,5.0,,,0
31.0,5.0,5.0,5.0,,,0
21.0,4.0,1.0,3.0,,,0
21.0,4.0,1.0,3.0,,,0
14.0,2.0,1.0,1.0,,,0
6.0,1.0,1.0,1.0,,,0
29.0,5.0,1.0,2.0,,,0
18.0,3.0,1.0,1.0,,,0
