Halstead_b,Halstead_d,Halstead_e,Halstead_i,Halstead_l,Halstead_lOBlank,Halstead_lOCode,Halstead_lOComment,Halstead_n,Halstead_t,Halstead_v,McCabe_ev(g),McCabe_iv(g),McCabe_loc,McCabe_v(g),SOFTWARE,branchCount,defects,locCodeAndComment,total_Op,total_Opnd,uniq_Op,uniq_Opnd
1.3,1.3,1.3,1.3,1.3,2,2,2,1.3,1.3,1.3,1.4,1.4,1.1,1.4,0,1.4,0,2,1.2,1.2,1.2,1.2
1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,1.0,1.0,1.0,1.0
0.1,9.5,2936.77,32.54,0.11,6,1,0,63.0,163.15,309.13,1.0,3.0,24.0,5.0,0,9.0,0,0,44.0,19.0,15.0,15.0
0.07,16.0,3447.89,13.47,0.06,3,0,0,47.0,191.55,215.49,4.0,2.0,20.0,4.0,0,7.0,0,0,31.0,16.0,16.0,8.0
0.12,17.33,5999.58,19.97,0.06,3,0,0,72.0,333.31,346.13,6.0,2.0,24.0,6.0,0,11.0,0,0,46.0,26.0,16.0,12.0
0.12,17.33,5999.58,19.97,0.06,3,0,0,72.0,333.31,346.13,6.0,2.0,24.0,6.0,0,11.0,0,0,46.0,26.0,16.0,12.0
0.01,2.0,69.74,17.43,0.5,1,0,0,11.0,3.87,34.87,1.0,1.0,7.0,1.0,0,1.0,0,0,6.0,5.0,4.0,5.0
0.03,6.43,604.36,14.62,0.16,7,0,0,23.0,33.58,94.01,1.0,2.0,12.0,2.0,0,3.0,0,0,14.0,9.0,10.0,7.0
0.18,14.25,7820.87,38.51,0.07,13,12,16,107.0,434.49,548.83,5.0,5.0,25.0,5.0,0,9.0,0,0,69.0,38.0,15.0,20.0
0.45,22.3,30377.95,61.1,0.04,22,8,35,239.0,1687.66,1362.41,3.0,1.0,46.0,15.0,0,29.0,0,0,129.0,110.0,15.0,37.0
0.29,20.76,17773.08,41.24,0.05,16,11,28,155.0,987.39,856.15,5.0,1.0,34.0,5.0,0,9.0,0,0,96.0,59.0,19.0,27.0
0.05,9.0,1287.55,15.9,0.11,4,2,4,35.0,71.53,143.06,1.0,1.0,10.0,2.0,0,3.0,0,0,19.0,16.0,9.0,8.0
0.26,28.12,21659.58,27.4,0.04,23,10,17,157.0,1203.31,770.38,5.0,1.0,23.0,7.0,0,13.0,0,0,114.0,43.0,17.0,13.0
0.16,27.22,12929.85,17.45,0.04,23,10,17,105.0,718.32,474.97,5.0,1.0,23.0,7.0,0,13.0,0,0,70.0,35.0,14.0,9.0
