Halstead_n,Halstead_v,Halstead_l,Halstead_d,Halstead_i,Halstead_e,Halstead_b,Halstead_t,Halstead_lOCode,Halstead_lOComment,Halstead_lOBlank,SOFTWARE,defects
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1
63.0,309.13,0.11,9.5,32.54,2936.77,0.1,163.15,1,0,6,0,0
47.0,215.49,0.06,16.0,13.47,3447.89,0.07,191.55,0,0,3,0,0
72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0,0,3,0,0
72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0,0,3,0,0
11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,0,0,1,0,0
23.0,94.01,0.16,6.43,14.62,604.36,0.03,33.58,0,0,7,0,0
107.0,548.83,0.07,14.25,38.51,7820.87,0.18,434.49,12,16,13,0,0
239.0,1362.41,0.04,22.3,61.1,30377.95,0.45,1687.66,8,35,22,0,0
155.0,856.15,0.05,20.76,41.24,17773.08,0.29,987.39,11,28,16,0,0
35.0,143.06,0.11,9.0,15.9,1287.55,0.05,71.53,2,4,4,0,0
157.0,770.38,0.04,28.12,27.4,21659.58,0.26,1203.31,10,17,23,0,0
105.0,474.97,0.04,27.22,17.45,12929.85,0.16,718.32,10,17,23,0,0
231.0,1303.73,0.04,27.5,47.41,35852.6,0.43,1991.81,2,15,40,0,0
120.0,655.13,0.07,15.2,43.1,9958.0,0.22,553.22,3,20,23,0,0
57.0,271.03,0.11,9.15,29.61,2480.95,0.09,137.83,6,5,8,0,0
15.0,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1,1,2,0,0
135.0,745.68,0.09,11.65,64.01,8684.99,0.25,482.5,2,0,19,0,0
15.0,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1,1,0,0,0
27.0,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0,0,1,0,0
14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,0
29.0,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,0
41.0,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,0
49.0,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,0
13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,0
7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,0
77.0,370.17,0.05,19.62,18.87,7260.95,0.12,403.39,11,30,7,0,0
541.0,3327.01,0.02,42.02,79.18,139798.54,1.11,7766.59,5,95,33,0,0
767.0,5580.79,0.02,54.82,101.81,305928.62,1.86,16996.03,63,31,134,0,0
41.0,185.47,0.07,15.0,12.36,2781.99,0.06,154.56,4,5,9,0,0
1844.0,15345.64,0.01,97.73,157.03,1499684.32,5.12,83315.8,37,191,164,0,0
298.0,1948.67,0.03,32.21,60.5,62767.66,0.65,3487.09,3,48,27,0,0
461.0,2653.0,0.04,22.83,116.21,60566.12,0.88,3364.78,0,10,4,0,0
71.0,351.75,0.1,10.29,34.17,3620.93,0.12,201.16,0,0,5,0,0
108.0,540.0,0.05,21.86,24.71,11802.86,0.18,655.71,4,5,7,0,0
52.0,260.0,0.14,7.18,36.19,1867.89,0.09,103.77,2,24,16,0,0
59.0,295.0,0.09,11.03,26.75,3253.68,0.1,180.76,3,8,15,0,0
123.0,686.95,0.08,12.89,53.31,8852.8,0.23,491.82,5,44,42,0,0
120.0,684.05,0.07,14.11,48.49,9649.29,0.23,536.07,2,16,19,0,0
75.0,381.56,0.07,13.42,28.43,5120.93,0.13,284.5,5,10,19,0,0
128.0,707.02,0.04,23.1,30.61,16332.07,0.24,907.34,5,19,15,0,0
122.0,625.77,0.04,24.42,25.62,15282.02,0.21,849.0,3,18,13,0,0
197.0,1075.51,0.03,39.72,27.08,42716.37,0.36,2373.13,2,20,14,0,0
310.0,2002.42,0.05,21.19,94.51,42426.35,0.67,2357.02,5,32,26,0,0
263.0,1653.06,0.07,15.19,108.84,25107.55,0.55,1394.86,0,34,17,0,0
49.0,181.32,0.14,7.0,25.9,1269.25,0.06,70.51,0,3,3,0,0
80.0,428.6,0.13,7.89,54.3,3382.91,0.14,187.94,2,2,12,0,0
11.0,30.88,0.38,2.67,11.58,82.35,0.01,4.57,1,2,0,0,0
250.0,1626.95,0.07,14.23,114.37,23143.92,0.54,1285.77,4,28,39,0,0
737.0,5334.7,0.04,24.9,214.24,132838.37,1.78,7379.91,4,31,77,0,0
77.0,391.73,0.13,7.64,51.3,2991.43,0.13,166.19,0,23,55,0,0
214.0,1284.0,0.05,18.78,68.36,24116.87,0.43,1339.83,1,8,12,0,0
169.0,985.76,0.06,17.21,57.28,16963.26,0.33,942.4,3,47,40,0,0
51.0,236.84,0.13,7.85,30.19,1858.26,0.08,103.24,1,20,13,0,0
36.0,158.12,0.18,5.5,28.75,869.68,0.05,48.32,0,6,7,0,0
95.0,475.0,0.07,15.0,31.67,7125.0,0.16,395.83,0,8,7,0,0
12.0,39.86,0.27,3.75,10.63,149.49,0.01,8.3,1,6,3,0,0
102.0,535.29,0.07,14.57,36.74,7799.92,0.18,433.33,2,2,9,0,0
176.0,1047.94,0.05,19.25,54.44,20172.82,0.35,1120.71,2,12,12,0,0
140.0,809.39,0.07,14.84,54.55,12009.6,0.27,667.2,10,9,23,0,0
61.0,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,0
61.0,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,0
25.0,97.67,0.09,11.0,8.88,1074.39,0.03,59.69,0,0,3,0,0
16.0,57.36,0.29,3.5,16.39,200.76,0.02,11.15,0,4,0,0,0
111.0,569.35,0.05,20.78,27.4,11829.84,0.19,657.21,0,17,6,0,0
91.0,459.04,0.08,12.89,35.6,5919.2,0.15,328.84,1,11,8,0,0
217.0,1311.63,0.04,26.83,48.89,35190.17,0.44,1955.01,0,8,17,0,0
150.0,937.19,0.06,15.65,59.87,14671.27,0.31,815.07,0,39,14,0,0
95.0,498.55,0.04,22.85,21.82,11393.4,0.17,632.97,2,14,10,0,0
538.0,3124.36,0.02,53.2,58.73,166215.79,1.04,9234.21,3,13,22,0,0
165.0,911.39,0.04,24.28,37.54,22126.47,0.3,1229.25,0,11,10,0,0
56.0,260.06,0.14,7.07,36.78,1838.97,0.09,102.16,0,0,0,0,0
331.0,2164.46,0.05,22.12,97.85,47876.6,0.72,2659.81,9,14,39,0,0
