Halstead_d,Halstead_e,Halstead_i,Halstead_n,Halstead_t,Halstead_v,McCabe_loc,McCabe_v(g),total_Op,uniq_Opnd,defects
1.3,1.3,1.3,1.3,1.3,1.3,1.1,1.4,1.2,1.2,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
9.5,2936.77,32.54,63.0,163.15,309.13,24.0,5.0,44.0,15.0,0
16.0,3447.89,13.47,47.0,191.55,215.49,20.0,4.0,31.0,8.0,0
17.33,5999.58,19.97,72.0,333.31,346.13,24.0,6.0,46.0,12.0,0
17.33,5999.58,19.97,72.0,333.31,346.13,24.0,6.0,46.0,12.0,0
2.0,69.74,17.43,11.0,3.87,34.87,7.0,1.0,6.0,5.0,0
6.43,604.36,14.62,23.0,33.58,94.01,12.0,2.0,14.0,7.0,0
14.25,7820.87,38.51,107.0,434.49,548.83,25.0,5.0,69.0,20.0,0
22.3,30377.95,61.1,239.0,1687.66,1362.41,46.0,15.0,129.0,37.0,0
20.76,17773.08,41.24,155.0,987.39,856.15,34.0,5.0,96.0,27.0,0
9.0,1287.55,15.9,35.0,71.53,143.06,10.0,2.0,19.0,8.0,0
28.12,21659.58,27.4,157.0,1203.31,770.38,23.0,7.0,114.0,13.0,0
27.22,12929.85,17.45,105.0,718.32,474.97,23.0,7.0,70.0,9.0,0
27.5,35852.6,47.41,231.0,1991.81,1303.73,31.0,5.0,161.0,28.0,0
15.2,9958.0,43.1,120.0,553.22,655.13,24.0,5.0,80.0,25.0,0
9.15,2480.95,29.61,57.0,137.83,271.03,13.0,2.0,40.0,13.0,0
4.0,222.03,13.88,15.0,12.33,55.51,6.0,1.0,10.0,5.0,0
11.65,8684.99,64.01,135.0,482.5,745.68,33.0,2.0,69.0,34.0,0
4.0,222.03,13.88,15.0,12.33,55.51,6.0,1.0,10.0,5.0,0
12.0,1265.83,8.79,27.0,70.32,105.49,7.0,2.0,15.0,5.0,0
4.38,211.89,11.07,14.0,11.77,48.43,3.0,1.0,9.0,4.0,0
4.88,538.26,22.65,29.0,29.9,110.41,7.0,1.0,16.0,8.0,0
14.14,2417.96,12.09,41.0,134.33,170.97,9.0,3.0,23.0,7.0,0
14.67,3156.61,14.67,49.0,175.37,215.22,11.0,3.0,27.0,9.0,0
3.0,117.0,13.0,13.0,6.5,39.0,4.0,1.0,7.0,4.0,0
2.5,49.13,7.86,7.0,2.73,19.65,3.0,1.0,5.0,2.0,0
19.62,7260.95,18.87,77.0,403.39,370.17,16.0,4.0,43.0,13.0,0
42.02,139798.54,79.18,541.0,7766.59,3327.01,65.0,12.0,311.0,52.0,0
54.82,305928.62,101.81,767.0,16996.03,5580.79,177.0,41.0,499.0,110.0,0
15.0,2781.99,12.36,41.0,154.56,185.47,14.0,5.0,25.0,8.0,0
97.73,1499684.32,157.03,1844.0,83315.8,15345.64,361.0,70.0,1133.0,251.0,0
32.21,62767.66,60.5,298.0,3487.09,1948.67,76.0,13.0,196.0,57.0,0
22.83,60566.12,116.21,461.0,3364.78,2653.0,31.0,1.0,317.0,41.0,0
10.29,3620.93,34.17,71.0,201.16,351.75,20.0,3.0,46.0,17.0,0
21.86,11802.86,24.71,108.0,655.71,540.0,27.0,5.0,74.0,14.0,0
7.18,1867.89,36.19,52.0,103.77,260.0,15.0,3.0,31.0,19.0,0
11.03,3253.68,26.75,59.0,180.76,295.0,13.0,4.0,34.0,17.0,0
12.89,8852.8,53.31,123.0,491.82,686.95,32.0,6.0,76.0,31.0,0
14.11,9649.29,48.49,120.0,536.07,684.05,25.0,3.0,71.0,33.0,0
13.42,5120.93,28.43,75.0,284.5,381.56,22.0,4.0,41.0,19.0,0
23.1,16332.07,30.61,128.0,907.34,707.02,28.0,6.0,73.0,25.0,0
24.42,15282.02,25.62,122.0,849.0,625.77,18.0,2.0,64.0,19.0,0
39.72,42716.37,27.08,197.0,2373.13,1075.51,24.0,5.0,110.0,23.0,0
21.19,42426.35,94.51,310.0,2357.02,2002.42,62.0,9.0,197.0,64.0,0
15.19,25107.55,108.84,263.0,1394.86,1653.06,65.0,12.0,154.0,61.0,0
7.0,1269.25,25.9,49.0,70.51,181.32,8.0,1.0,37.0,6.0,0
7.89,3382.91,54.3,80.0,187.94,428.6,18.0,4.0,46.0,28.0,0
2.67,82.35,11.58,11.0,4.57,30.88,6.0,1.0,7.0,3.0,0
14.23,23143.92,114.37,250.0,1285.77,1626.95,48.0,7.0,149.0,71.0,0
24.9,132838.37,214.24,737.0,7379.91,5334.7,127.0,10.0,486.0,126.0,0
7.64,2991.43,51.3,77.0,166.19,391.73,21.0,4.0,49.0,22.0,0
18.78,24116.87,68.36,214.0,1339.83,1284.0,32.0,2.0,118.0,46.0,0
17.21,16963.26,57.28,169.0,942.4,985.76,41.0,6.0,110.0,36.0,0
7.85,1858.26,30.19,51.0,103.24,236.84,23.0,5.0,34.0,13.0,0
5.5,869.68,28.75,36.0,48.32,158.12,8.0,2.0,26.0,10.0,0
15.0,7125.0,31.67,95.0,395.83,475.0,25.0,4.0,65.0,16.0,0
3.75,149.49,10.63,12.0,8.3,39.86,8.0,2.0,7.0,4.0,0
14.57,7799.92,36.74,102.0,433.33,535.29,17.0,3.0,66.0,21.0,0
19.25,20172.82,54.44,176.0,1120.71,1047.94,38.0,5.0,106.0,40.0,0
14.84,12009.6,54.55,140.0,667.2,809.39,31.0,5.0,79.0,37.0,0
10.26,3185.02,30.24,61.0,176.95,310.34,21.0,4.0,35.0,19.0,0
10.26,3185.02,30.24,61.0,176.95,310.34,21.0,4.0,35.0,19.0,0
11.0,1074.39,8.88,25.0,59.69,97.67,14.0,2.0,14.0,5.0,0
3.5,200.76,16.39,16.0,11.15,57.36,6.0,1.0,11.0,5.0,0
20.78,11829.84,27.4,111.0,657.21,569.35,29.0,5.0,67.0,18.0,0
12.89,5919.2,35.6,91.0,328.84,459.04,18.0,3.0,56.0,19.0,0
26.83,35190.17,48.89,217.0,1955.01,1311.63,55.0,11.0,129.0,41.0,0
15.65,14671.27,59.87,150.0,815.07,937.19,47.0,3.0,68.0,55.0,0
22.85,11393.4,21.82,95.0,632.97,498.55,32.0,6.0,58.0,17.0,0
53.2,166215.79,58.73,538.0,9234.21,3124.36,32.0,3.0,272.0,40.0,0
24.28,22126.47,37.54,165.0,1229.25,911.39,38.0,4.0,96.0,27.0,0
7.07,1838.97,36.78,56.0,102.16,260.06,14.0,2.0,38.0,14.0,0
22.12,47876.6,97.85,331.0,2659.81,2164.46,60.0,5.0,217.0,67.0,0
6.13,765.75,20.41,32.0,42.54,125.02,10.0,1.0,18.0,8.0,0
9.0,3223.83,39.8,73.0,179.1,358.2,16.0,3.0,46.0,18.0,0
6.11,871.59,23.34,33.0,48.42,142.62,12.0,2.0,23.0,9.0,0
9.63,1676.34,18.1,41.0,93.13,174.17,13.0,2.0,27.0,8.0,0
9.1,1752.37,21.16,42.0,97.35,192.57,16.0,2.0,29.0,10.0,0
18.12,9456.28,28.78,95.0,525.35,521.73,27.0,4.0,66.0,20.0,0
17.25,10420.79,35.02,110.0,578.93,604.1,31.0,5.0,77.0,22.0,0
2.0,56.15,14.04,10.0,3.12,28.07,10.0,1.0,7.0,3.0,0
16.0,7919.03,30.93,93.0,439.95,494.94,37.0,5.0,61.0,20.0,0
2.5,67.5,10.8,9.0,3.75,27.0,8.0,1.0,6.0,3.0,0
6.19,834.61,21.8,33.0,46.37,134.89,8.0,1.0,22.0,8.0,0
7.0,1284.34,26.21,44.0,71.35,183.48,9.0,1.0,30.0,9.0,0
8.25,1160.35,17.05,36.0,64.45,140.65,9.0,1.0,25.0,6.0,0
2.5,56.15,8.98,8.0,3.12,22.46,7.0,1.0,6.0,2.0,0
13.2,6756.06,38.77,99.0,375.34,511.82,26.0,4.0,66.0,20.0,0
6.0,586.03,16.28,25.0,32.56,97.67,7.0,1.0,17.0,6.0,0
13.05,4767.45,27.99,86.0,264.86,365.32,14.0,1.0,57.0,10.0,0
4.67,217.03,9.97,14.0,12.06,46.51,9.0,1.0,10.0,3.0,0
7.0,577.18,11.78,23.0,32.07,82.45,11.0,1.0,16.0,4.0,0
12.6,9398.15,59.16,135.0,522.12,745.68,34.0,6.0,92.0,29.0,0
3.5,122.04,9.96,11.0,6.78,34.87,7.0,1.0,9.0,2.0,0
23.5,14529.3,26.31,126.0,807.18,618.27,31.0,7.0,79.0,15.0,0
2.5,67.5,10.8,9.0,3.75,27.0,8.0,1.0,6.0,3.0,0
3.0,90.0,10.0,10.0,5.0,30.0,6.0,1.0,8.0,2.0,0
3.5,116.27,9.49,10.0,6.46,33.22,7.0,1.0,7.0,3.0,0
7.6,2168.23,37.54,60.0,120.46,285.29,15.0,2.0,41.0,15.0,0
8.36,2419.46,34.64,64.0,134.41,289.51,16.0,1.0,38.0,14.0,0
9.73,2855.37,30.16,64.0,158.63,293.44,19.0,1.0,41.0,13.0,0
55.88,285170.84,91.32,729.0,15842.82,5103.0,130.0,29.0,420.0,94.0,0
20.71,13065.14,30.45,122.0,725.84,630.73,30.0,4.0,64.0,21.0,0
12.0,9260.02,64.31,146.0,514.45,771.67,34.0,6.0,92.0,27.0,0
46.0,59779.23,28.25,241.0,3321.07,1299.55,20.0,6.0,165.0,19.0,0
14.38,3622.63,17.53,53.0,201.26,252.01,17.0,2.0,30.0,12.0,0
14.38,3622.63,17.53,53.0,201.26,252.01,17.0,2.0,30.0,12.0,0
23.02,25900.42,48.87,210.0,1438.91,1125.09,26.0,8.0,145.0,24.0,0
5.63,392.28,12.4,22.0,21.79,69.74,10.0,1.0,13.0,4.0,0
3.0,109.62,12.18,11.0,6.09,36.54,6.0,1.0,7.0,4.0,0
2.67,82.35,11.58,11.0,4.57,30.88,8.0,1.0,7.0,3.0,0
48.06,129374.54,56.02,407.0,7187.47,2692.19,93.0,17.0,234.0,63.0,0
54.33,307757.08,104.25,790.0,17097.62,5664.24,128.0,25.0,464.0,108.0,0
11.69,6449.49,47.22,103.0,358.3,551.83,28.0,3.0,70.0,24.0,0
9.41,2943.55,33.23,62.0,163.53,312.75,19.0,2.0,42.0,17.0,0
8.91,2515.03,31.71,57.0,139.72,282.39,19.0,2.0,38.0,16.0,0
8.63,2570.73,34.56,62.0,142.82,298.06,21.0,3.0,39.0,16.0,0
38.57,198396.43,133.35,695.0,11022.02,5143.61,154.0,17.0,410.0,133.0,0
40.25,126046.47,77.8,438.0,7002.58,3131.59,125.0,18.0,270.0,96.0,0
7.86,786.33,12.74,24.0,43.68,100.08,14.0,2.0,14.0,7.0,0
36.21,170066.5,129.72,690.0,9448.14,4697.07,127.0,30.0,438.0,87.0,0
3.33,368.04,33.12,29.0,20.45,110.41,12.0,1.0,17.0,9.0,0
11.63,4329.68,32.0,72.0,240.54,372.23,18.0,2.0,46.0,19.0,0
11.56,5232.17,39.18,89.0,290.68,452.78,20.0,3.0,63.0,18.0,0
17.63,15014.65,48.31,156.0,834.15,851.67,36.0,4.0,100.0,27.0,0
22.73,78244.98,151.5,488.0,4346.94,3442.98,160.0,32.0,325.0,104.0,0
18.86,37359.42,105.02,318.0,2075.52,1980.76,47.0,10.0,221.0,54.0,0
2.0,31.02,7.75,6.0,1.72,15.51,6.0,1.0,4.0,2.0,0
2.0,31.02,7.75,6.0,1.72,15.51,6.0,1.0,4.0,2.0,0
14.75,13163.37,60.5,153.0,731.3,892.43,38.0,4.0,94.0,38.0,0
2.0,31.02,7.75,6.0,1.72,15.51,6.0,1.0,4.0,2.0,0
2.0,150.57,37.64,21.0,8.36,75.28,12.0,1.0,13.0,8.0,0
2.67,246.7,34.69,25.0,13.71,92.51,12.0,1.0,13.0,9.0,0
2.67,246.7,34.69,25.0,13.71,92.51,9.0,1.0,13.0,9.0,0
15.69,23101.5,93.81,241.0,1283.42,1472.15,41.0,2.0,145.0,52.0,0
14.68,12512.17,58.05,151.0,695.12,852.22,30.0,2.0,94.0,33.0,0
2.5,49.13,7.86,7.0,2.73,19.65,6.0,1.0,5.0,2.0,0
21.0,6065.91,13.75,63.0,336.99,288.85,20.0,5.0,42.0,8.0,0
46.92,261640.64,118.83,781.0,14535.59,5575.99,149.0,15.0,448.0,110.0,0
2.0,44.92,11.23,8.0,2.5,22.46,6.0,1.0,5.0,3.0,0
7.71,2723.97,45.77,70.0,151.33,353.11,16.0,3.0,43.0,21.0,0
5.25,943.51,34.23,46.0,52.42,179.72,15.0,1.0,25.0,10.0,0
15.5,4622.3,19.24,69.0,256.79,298.21,13.0,1.0,38.0,10.0,0
3.5,157.4,12.85,13.0,8.74,44.97,6.0,1.0,9.0,4.0,0
9.29,1404.34,16.29,37.0,78.02,151.24,14.0,2.0,24.0,7.0,0
9.29,1404.34,16.29,37.0,78.02,151.24,14.0,2.0,24.0,7.0,0
12.04,8964.95,61.85,130.0,498.05,744.63,27.0,3.0,69.0,38.0,0
9.5,2850.0,31.58,60.0,158.33,300.0,19.0,2.0,41.0,16.0,0
23.0,12075.0,22.83,105.0,670.83,525.0,21.0,2.0,59.0,16.0,0
3.75,161.94,11.52,13.0,9.0,43.19,6.0,1.0,8.0,4.0,0
7.64,1418.49,24.32,40.0,78.8,185.75,16.0,3.0,28.0,11.0,0
33.32,57931.89,52.18,292.0,3218.44,1738.63,55.0,9.0,179.0,39.0,0
1.5,17.41,7.74,5.0,0.97,11.61,6.0,1.0,3.0,2.0,0
2.29,142.33,27.24,18.0,7.91,62.27,9.0,1.0,10.0,7.0,0
3.33,368.04,33.12,29.0,20.45,110.41,12.0,1.0,17.0,9.0,0
2.67,246.7,34.69,25.0,13.71,92.51,12.0,1.0,13.0,9.0,0
36.57,100429.38,75.09,418.0,5579.41,2746.2,69.0,19.0,267.0,64.0,0
27.21,127275.78,171.89,625.0,7070.88,4677.38,138.0,25.0,375.0,147.0,0
2.0,31.02,7.75,6.0,1.72,15.51,6.0,1.0,4.0,2.0,0
2.0,31.02,7.75,6.0,1.72,15.51,6.0,1.0,4.0,2.0,0
18.26,28729.02,86.16,255.0,1596.06,1573.33,72.0,16.0,172.0,50.0,0
1.5,12.0,5.33,4.0,0.67,8.0,6.0,1.0,3.0,1.0,0
2.0,23.22,5.8,5.0,1.29,11.61,6.0,1.0,4.0,1.0,0
2.5,49.13,7.86,7.0,2.73,19.65,6.0,1.0,5.0,2.0,0
2.5,67.5,10.8,9.0,3.75,27.0,6.0,1.0,6.0,3.0,0
2.14,156.61,34.11,22.0,8.7,73.08,11.0,1.0,12.0,7.0,0
11.57,4586.97,34.26,75.0,254.83,396.41,23.0,4.0,48.0,21.0,0
